Username;Name;Gender;Party
RepTedBudd;Ted Budd;Male;Republican
RepTimBurchett;Tim Burchett;Male;Republican
michaelcburgess;Michael Burgess;Male;Republican
RepCori;Cori Bush;Female;Democratic
RepCheri;Cheri Bustos;Female;Democratic
RepKatCammack;Kat Cammack;Female;Republican
RepCarbajal;Salud Carbajal;Male;Democratic
RepCardenas;Tony Cárdenas;Male;Republican
RepMikeCarey;Mike Carey;Male;Republican
RepJerryCarl;Jerry Carl;Male;Republican
RepAndreCarson;André Carson;Male;Democratic
RepBuddyCarter;Buddy Carter;Male;Republican
JudgeCarter;David Carter;Male;Republican
RepTroyCarter;Troy Carter;Male;Democratic
RepEdCase;Ed Case;Male;Democratic
RepCasten;Sean Casten;Male;Democratic
USRepKCastor;Kathy Castor;Female;Democratic
JoaquinCastrotx;Joaquin Castro;Male;Democratic
RepCawthorn;Madison Cawthorn;Male;Republican
RepSteveChabot;Steve Chabot;Male;Republican
RepLizCheney;Liz Cheney;Female;Republican
CongresswomanSC;Karen Bass;Female;Republican
RepJudyChu;Judy Chu;Female;Democratic
RepKClark;Katherine Clark;Female;Democratic
RepYvetteClarke;Yvette Clarke;Female;Democratic
repcleaver;Emanuel Cleaver;Male;Democratic
RepBenCline;Ben Cline;Male;Republican
RepCloudTX;Michael Cloud;Male;Republican
WhipClyburn;James Clyburn;Male;Democratic
Rep_Clyde;Andrew Clyde;Male;Republican
RepCohen;Steve Cohen;Male;Democratic
TomColeOK04;Tom Cole;Male;Republican
RepJamesComer;James Comer;Male;Republican
GerryConnolly;Gerald Connolly;Male;Democratic
RepLouCorrea;Lou Correa;Male;Democratic
RepJimCosta;Jim Costa;Male;Democratic
RepJoeCourtney;Joe Courtney;Male;Democratic
RepAngieCraig;Angie Craig;Female;Democratic
RepCharlieCrist;Charlie Crist;Male;Democratic
RepJasonCrow;Jason Crow;Male;Democratic
RepJohnCurtis;John Curtis;Male;Republican
RepDavids;Sharice Davids;Female;Democratic
WarrenDavidson;Warren Davidson;Male;Republican
RodneyDavis;Rodney Davis;Male;Republican
RepDean;Madeleine Dean;Female;Democratic
RepPeterDeFazio;Peter DeFazio;Male;Democratic
RepDianaDeGette;Diana DeGette;Female;Democratic
rosadelauro;Rosa DeLauro;Female;Democratic
RepDelBene;Suzan DelBene;Female;Democratic
repdelgado;Antonio Delgado;Male;Democratic
